Filename_Crop,Original_Filename,True_Label,Predicted_Label,Status
overripe_overripe0_crop_0.jpg,overripe0,overripe,overripe,Correct
overripe_overripe1_crop_0.jpg,overripe1,overripe,overripe,Correct
overripe_overripe10_crop_0.jpg,overripe10,overripe,overripe,Correct
overripe_overripe11_crop_0.jpg,overripe11,overripe,overripe,Correct
overripe_overripe12_crop_0.jpg,overripe12,overripe,overripe,Correct
overripe_overripe13_crop_0.jpg,overripe13,overripe,overripe,Correct
overripe_overripe13_crop_1.jpg,overripe13,overripe,overripe,Correct
overripe_overripe13_crop_2.jpg,overripe13,overripe,overripe,Correct
overripe_overripe13_crop_3.jpg,overripe13,overripe,overripe,Correct
overripe_overripe14_crop_0.jpg,overripe14,overripe,overripe,Correct
overripe_overripe16_crop_0.jpg,overripe16,overripe,overripe,Correct
overripe_overripe18_crop_0.jpg,overripe18,overripe,overripe,Correct
overripe_overripe18_crop_1.jpg,overripe18,overripe,overripe,Correct
overripe_overripe19_crop_0.jpg,overripe19,overripe,overripe,Correct
overripe_overripe2_crop_0.jpg,overripe2,overripe,overripe,Correct
overripe_overripe20_crop_0.jpg,overripe20,overripe,overripe,Correct
overripe_overripe3_crop_0.jpg,overripe3,overripe,overripe,Correct
overripe_overripe4_crop_0.jpg,overripe4,overripe,overripe,Correct
overripe_overripe7_crop_0.jpg,overripe7,overripe,overripe,Correct
ripe_ripe0_crop_0.jpg,ripe0,ripe,ripe,Correct
ripe_ripe1_crop_0.jpg,ripe1,ripe,ripe,Correct
ripe_ripe14_crop_0.jpg,ripe14,ripe,ripe,Correct
ripe_ripe15_crop_0.jpg,ripe15,ripe,ripe,Correct
ripe_ripe15_crop_1.jpg,ripe15,ripe,ripe,Correct
ripe_ripe16_crop_0.jpg,ripe16,ripe,ripe,Correct
ripe_ripe17_crop_0.jpg,ripe17,ripe,ripe,Correct
ripe_ripe18_crop_0.jpg,ripe18,ripe,ripe,Correct
